,id_distribuidor_linea_de_credito,monto_autorizado,tasa_minima,grupo_riesgo,riesgo,tasa_ponderada,perdida_ponderada,id_distribuidor,importe_depositado,marginal,perdida_cosecha_canasta
3070,170061,10000,110,Canasta 5,5,156.87535040691716,0.0,170339,59136.0,2737.6096153846156,3.374105053076616
3071,169534,10000,147,Canasta 9,9,162.7066166128158,0.0,170260,71680.38,3329.186923076924,7.900051906317038
3072,169536,10000,132,Canasta 8,8,142.0,0.0,170260,71680.38,3329.186923076924,5.828371587611391
3073,169555,10000,127,Canasta 7,7,142.0,0.0,170260,71680.38,3329.186923076924,5.243910975948551
3074,169775,0,0,Canasta 10,10,142.0,0.0,170260,71680.38,3329.186923076924,11.22693992153604
3075,169548,0,0,Canasta 10,10,142.0,0.6941839238469844,169932,27200.26,-20705.43769230769,11.22693992153604
3076,169549,10000,115,Canasta 6,6,147.0,0.6941839238469844,169932,27200.26,-20705.43769230769,3.977055692691484
3077,169554,10000,147,Canasta 9,9,142.0,0.0,170187,47525.0,4429.334615384614,7.900051906317038
3078,170685,10000,132,Canasta 8,8,157.205,0.15442635781395103,170187,47525.0,4429.334615384614,5.828371587611391
3079,169574,10000,115,Canasta 6,6,79.99999999999999,0.0,170251,48946.92,1664.042564102565,3.977055692691484
3080,169575,10000,110,Canasta 5,5,85.0,0.0,170251,48946.92,1664.042564102565,3.374105053076616
3081,169576,10000,115,Canasta 6,6,85.0,0.0,170251,48946.92,1664.042564102565,3.977055692691484
3082,169580,10000,110,Canasta 4,4,80.0,0.0,170988,51028.0,991.5646153846161,3.1160502391921283
3083,169581,10000,100,Canasta 2,2,80.00000000000001,0.0,170988,51028.0,991.5646153846161,1.8298129407071972
3084,169582,10000,115,Canasta 6,6,80.00000000000001,0.0,170988,51028.0,991.5646153846161,3.977055692691484
3085,169583,10000,110,Canasta 3,3,80.0,0.0,170988,51028.0,991.5646153846161,3.3220596517330434
3086,169811,10000,110,Canasta 4,4,80.0,0.0,170988,51028.0,991.5646153846161,3.1160502391921283
3087,169619,10000,115,Canasta 6,6,142.0,0.0,170629,53461.0,2376.5519230769223,3.977055692691484
3088,169620,10000,110,Canasta 3,3,142.0,0.0,170629,53461.0,2376.5519230769223,3.3220596517330434
3089,169622,10000,147,Canasta 9,9,146.996359094219,0.0,170629,53461.0,2376.5519230769223,7.900051906317038
3090,169714,10000,110,Canasta 4,4,142.0,0.0,170629,53461.0,2376.5519230769223,3.1160502391921283
3091,169633,10000,132,Canasta 8,8,142.0,0.16792243308948399,170635,46248.0,1727.8723076923065,5.828371587611391
3092,170146,10000,110,Canasta 5,5,156.92529441596812,0.2366475645558024,170635,46248.0,1727.8723076923065,3.374105053076616
3093,170148,10000,127,Canasta 7,7,142.0,0.1705886893308271,170635,46248.0,1727.8723076923065,5.243910975948551
3094,170272,10000,147,Canasta 9,9,142.0,0.1492643301792442,170635,46248.0,1727.8723076923065,7.900051906317038
3095,170275,10000,132,Canasta 8,8,142.0,0.16792243308948399,170635,46248.0,1727.8723076923065,5.828371587611391
