id_distribuidor,monto_autorizado,tasa_minima,probabilidad,grupo_riesgo
159871,0,0,0.1670602709,Canasta 1
159876,0,0,0.3345274627,Canasta 1
159901,0,0,0.3373425901,Canasta 1
159902,0,0,0.2220956534,Canasta 1
159930,0,0,0.9312306643,Canasta 4
159941,6000,142,0.9536086321,Canasta 5
159943,0,0,0.3781605363,Canasta 1
159946,10000,142,0.9390966892,Canasta 5
159949,8000,142,0.9365510345,Canasta 5
159951,9000,147,0.8092570305,Canasta 3
159952,0,0,0.5331341028,Canasta 2
159964,0,0,0.467795074,Canasta 1
160010,0,0,0.6666178107,Canasta 2
160011,0,0,0.3641903102,Canasta 1
160012,10000,142,0.9246736765,Canasta 4
160015,0,0,0.3950220048,Canasta 1
160020,0,0,0.4656262398,Canasta 1
160115,10000,147,0.8384776711,Canasta 3
160121,10000,142,0.9584544301,Canasta 5
160133,10000,127,0.9713161588,Canasta 6
160142,10000,142,0.9561603665,Canasta 5
160143,10000,127,0.9957140684,Canasta 6
160172,0,0,0.7573193908,Canasta 3
160181,0,0,0.6829867959,Canasta 2
160227,0,0,0.7080460787,Canasta 2
160231,0,0,0.5701860785,Canasta 2
160237,0,0,0.2173154205,Canasta 1
160245,0,0,0.6982679963,Canasta 2
160325,0,0,0.4573926628,Canasta 1
160328,0,0,0.6504945159,Canasta 2
160330,0,0,0.8174012899,Canasta 3
160332,0,0,0.6704562902,Canasta 2
160336,0,0,0.6462135315,Canasta 2
160337,0,0,0.5750471354,Canasta 2
160338,10000,142,0.9318515658,Canasta 4
160377,0,0,0.4205895364,Canasta 1
160379,0,0,0.3514778018,Canasta 1
160382,0,0,0.3170498013,Canasta 1
160392,10000,142,0.862994194,Canasta 4
160406,0,0,0.3832758367,Canasta 1
160409,10000,142,0.9084541202,Canasta 4
160410,9000,147,0.8365134001,Canasta 3
160413,10000,142,0.885296762,Canasta 4
160417,0,0,0.6984561682,Canasta 2
160450,0,0,0.7269176841,Canasta 2
160452,10000,147,0.7886368036,Canasta 3
160453,0,0,0.1856768876,Canasta 1
160456,10000,142,0.8666923046,Canasta 4
160459,10000,142,0.9546172023,Canasta 5
160463,0,0,0.6783707738,Canasta 2
160465,10000,142,0.8989519477,Canasta 4
160469,10000,127,0.990571022,Canasta 6
160501,0,0,0.203754887,Canasta 1
160526,0,0,0.5435413122,Canasta 2
160527,0,0,0.6274428368,Canasta 2
160528,10000,147,0.759511888,Canasta 3
160544,0,0,0.1431643665,Canasta 1
160547,10000,142,0.9630182981,Canasta 5
160563,10000,147,0.7980215549,Canasta 3
160577,10000,142,0.9290258288,Canasta 4
160581,10000,142,0.9570227861,Canasta 5
160582,10000,142,0.8537817597,Canasta 4
160613,10000,147,0.7915885448,Canasta 3
160616,0,0,0.4147976637,Canasta 1
160653,10000,142,0.9433826208,Canasta 5
160668,10000,142,0.8520765901,Canasta 4
160671,10000,142,0.8481764793,Canasta 4
160674,0,0,0.6018205285,Canasta 2
160675,10000,142,0.9666347504,Canasta 5
160683,0,0,0.4045513272,Canasta 1
160687,6000,142,0.9535312057,Canasta 5
160689,0,0,0.6922044158,Canasta 2
160719,0,0,0.4087818861,Canasta 1
160728,10000,142,0.9496635795,Canasta 5
160747,0,0,0.1743859351,Canasta 1
160751,0,0,0.6711703539,Canasta 2
160752,0,0,0.7840812206,Canasta 3
160753,10000,142,0.9608002901,Canasta 5
160755,10000,142,0.8538449407,Canasta 4
160758,0,0,0.7267434597,Canasta 2
160761,0,0,0.667708993,Canasta 2
160774,0,0,0.7682588696,Canasta 3
160775,0,0,0.6716198325,Canasta 2
160793,0,0,0.7908522487,Canasta 3
160794,10000,142,0.8486276269,Canasta 4
160804,10000,142,0.9603210688,Canasta 5
160806,10000,142,0.9399471283,Canasta 5
160813,10000,142,0.9560480118,Canasta 5
160827,10000,142,0.9473709464,Canasta 5
160829,10000,142,0.9236670136,Canasta 4
160834,0,0,0.2434634119,Canasta 1
160868,0,0,0.7949675322,Canasta 3
160876,10000,142,0.9255771041,Canasta 4
160878,10000,142,0.9579054713,Canasta 5
160879,0,0,0.5145214796,Canasta 2
160881,9000,147,0.7833834887,Canasta 3
160882,9000,142,0.9131731987,Canasta 4
160883,10000,142,0.8697119355,Canasta 4
160899,10000,142,0.9487990737,Canasta 5
160909,10000,142,0.9145477414,Canasta 4
160917,0,0,0.6628869176,Canasta 2
160953,10000,142,0.9397782087,Canasta 5
160963,10000,142,0.9395250678,Canasta 5
