APPLICANT_ID,INGRESO_MENSUAL,GASTOS_FAMILIARES,OTROS_INGRESOS,INGRESO_NETO,DEPENDIENTES,VENTAS,EDAD,MONTO_MENSUAL_VENTA,COMPRAS,DELEGACION,DELEGACION_NEGOCIO,ESCOLARIDAD,ESTADO,ESTADO_CIVIL,ESTADO_NEGOCIO,SEXO,SUCURSAL,TIPO_NEGOCIO,TIPO_VIVIENDA
162053,10400,1000,2600,10400,0,2600,40,10400,800,RIO_BLANCO,RIO_BLANCO,BACHILLERATO,VERACRUZ_DE_IGNACIO_DE_LA_LLAVE,UNION LIBRE,VERACRUZ_DE_IGNACIO_DE_LA_LLAVE,FEMENINO,ORIZABA,VENTA_DE_ROPA,PROPIA
162269,8400,800,3500,8400,0,2100,20,8400,400,RIO_BLANCO,RIO_BLANCO,LICENCIATURA,VERACRUZ_DE_IGNACIO_DE_LA_LLAVE,SOLTERO,VERACRUZ_DE_IGNACIO_DE_LA_LLAVE,FEMENINO,ORIZABA,PAPELERIA,PROPIA
162981,9200,1250,1500,9200,1,2300,59,9200,500,RIO_BLANCO,RIO_BLANCO,SIN_ESTUDIOS,VERACRUZ_DE_IGNACIO_DE_LA_LLAVE,SOLTERO,VERACRUZ_DE_IGNACIO_DE_LA_LLAVE,FEMENINO,ORIZABA,VENTA_DE_ROPA,PROPIA
163054,11200,1400,1500,11200,0,2800,56,11200,700,RIO_BLANCO,RIO_BLANCO,SECUNDARIA,VERACRUZ_DE_IGNACIO_DE_LA_LLAVE,SOLTERO,VERACRUZ_DE_IGNACIO_DE_LA_LLAVE,FEMENINO,ORIZABA,VENTA_DE_ROPA,PROPIA
162645,7800,1100,1300,7800,1,2750,25,11000,800,LA_PAZ,LA_PAZ,SECUNDARIA,MEXICO,UNION LIBRE,MEXICO,FEMENINO,NEZAHUALCOYOTL_2,VENTA_DE_ALIMENTOS,FAMILIAR
161015,8000,1200,1500,5200,1,2000,59,8000,800,CHIMALHUACAN,CHIMALHUACAN,SECUNDARIA,MEXICO,CASADO,MEXICO,MASCULINO,CHIMALHUACAN_2,ABARROTES/MISCELANEAS/PERECEDEROS,PROPIA
161046,6392,800,1500,6392,0,3000,31,12000,1200,CHIMALHUACAN,CHIMALHUACAN,SECUNDARIA,MEXICO,CASADO,MEXICO,FEMENINO,CHIMALHUACAN_2,JOYERIA/BISUTERIA/FUNDICION,FAMILIAR
163422,22000,1000,2000,17200,0,5500,21,22000,1500,ZAPOPAN,ZAPOPAN,LICENCIATURA,JALISCO,SOLTERO,JALISCO,FEMENINO,TONALA,TLAPALERIA/FERRETERIA/MATERIALES_DE_CONSTRUCCION,RENTADA
163540,7440,2110,1800,14640,2,6200,48,24800,2800,CENTRO,CENTRO,BACHILLERATO,TABASCO,UNION LIBRE,TABASCO,FEMENINO,VILLAHERMOSA,VENTA_DE_ALIMENTOS,PROPIA
163452,8256,1200,3000,8256,1,1500,47,6000,900,CHICOLOAPAN,CHICOLOAPAN,SECUNDARIA,MEXICO,UNION LIBRE,MEXICO,FEMENINO,CHIMALHUACAN_2,ABARROTES/MISCELANEAS/PERECEDEROS,FAMILIAR
