ID DIST.,probs,grupo
23405,8.450000000000001,10
23410,53.27,5
23436,99.3,1
23508,98.8,1
23609,17.07,9
23656,32.65,7
23714,71.36,3
23845,99.2,1
23855,99.0,1
24015,30.18,7
24018,64.28,3
24024,48.72,5
24038,79.69,2
24057,62.29,4
24096,40.33,6
24102,26.2,8
24103,71.4,3
24129,18.07,9
24141,98.6,1
24164,17.770000000000003,9
24186,18.07,9
24203,99.1,1
24225,61.89,4
24230,48.62,5
24231,70.76,3
24250,99.8,1
24251,17.67,9
24287,17.470000000000002,9
24289,27.23,8
24295,98.8,1
24302,99.6,1
24308,17.17,9
24321,99.2,1
24369,16.770000000000003,9
24373,98.9,1
24382,61.88,4
24400,77.59,2
24405,99.1,1
24406,98.9,1
24434,71.76,3
24457,99.3,1
24462,99.6,1
24465,30.01,7
24468,69.6,3
24469,99.4,1
24475,79.99000000000001,2
24477,18.07,9
24542,36.77,6
24550,98.7,1
24580,98.8,1
24645,62.089999999999996,4
24654,8.350000000000001,10
24655,17.67,9
24674,98.9,1
24719,27.07,8
24790,30.94,7
24803,99.6,1
24809,17.270000000000003,9
24842,53.470000000000006,5
24844,99.0,1
24855,98.9,1
24899,79.89,2
24997,99.5,1
25085,99.7,1
25148,59.24,4
25163,71.26,3
25249,99.7,1
25333,33.76,7
25396,17.37,9
25466,63.43,3
25483,99.5,1
25485,69.93,3
25493,99.4,1
25549,45.07,6
25556,68.95,3
25672,98.5,1
25678,98.9,1
25688,38.63,6
25744,17.970000000000002,9
25801,98.6,1
25803,8.05,10
25805,65.0,3
25824,71.36,3
25855,17.67,9
25860,99.9,1
25904,31.93,7
25905,66.81,3
25952,99.2,1
25963,99.9,1
25981,17.17,9
25996,17.17,9
26015,50.29,5
26021,80.99000000000001,2
26030,99.7,1
26051,53.470000000000006,5
26067,98.6,1
26190,99.8,1
26241,7.750000000000001,10
26247,53.17,5
26278,98.9,1
26281,54.14,5
26360,41.19,6
26433,99.6,1
26435,98.5,1
26438,98.8,1
26500,62.9,4
26509,99.0,1
26520,99.9,1
26531,79.41,2
26648,99.2,1
26654,99.3,1
26666,99.5,1
26678,99.1,1
26679,17.970000000000002,9
26829,62.39,4
26865,33.17,7
26868,98.6,1
26917,53.77,5
26932,99.4,1
26936,99.8,1
26959,18.07,9
26974,99.3,1
26978,17.57,9
26980,99.7,1
26988,69.62,3
27030,49.29,5
27039,98.9,1
27062,71.66,3
27066,99.5,1
27102,99.5,1
27106,16.770000000000003,9
27127,44.51,6
27145,55.07,4
27150,8.05,10
27169,98.9,1
27176,98.7,1
27187,99.5,1
27189,61.79,4
27192,98.6,1
27193,79.59,2
27203,62.39,4
27229,52.77,5
27231,98.6,1
27257,99.7,1
27286,50.21,5
27304,32.91,7
27313,98.9,1
27315,99.7,1
27376,99.7,1
27392,98.5,1
27460,99.0,1
27482,99.7,1
27508,53.17,5
27662,53.67,5
27693,65.05,3
27756,52.77,5
27890,99.4,1
28010,74.43,2
28013,32.75,7
28109,80.89,2
28304,35.3,7
28330,67.49,3
28347,98.8,1
28349,80.49000000000001,2
28353,99.8,1
28356,99.3,1
28361,99.2,1
28371,8.25,10
28373,62.989999999999995,4
28444,99.2,1
28471,55.37,4
28499,53.57,5
28518,99.6,1
28629,99.0,1
28630,99.9,1
28678,62.19,4
28733,52.870000000000005,5
28747,99.0,1
28760,60.76,4
28764,21.26,8
28769,40.13,6
28784,98.5,1
28836,25.25,8
28886,99.8,1
28894,98.5,1
28896,17.470000000000002,9
28942,66.3,3
28983,43.29,6
29003,80.29,2
29008,98.8,1
29084,35.76,7
29126,17.17,9
29133,99.6,1
29193,98.6,1
29217,99.0,1
29224,31.74,7
29237,77.94,2
29258,64.09,3
29262,52.62,5
29264,35.37,7
29265,39.75,6
29272,62.57,4
29281,65.11,3
29303,49.4,5
29357,78.29,2
29370,20.31,8
29410,61.989999999999995,4
29434,59.42,4
29443,98.5,1
29485,20.07,8
29487,71.16,3
29601,16.67,9
29634,61.79,4
29637,65.14,3
29638,41.9,6
29641,31.86,7
29644,53.370000000000005,5
29648,8.65,10
29718,48.72,5
29720,17.37,9
29728,99.9,1
29736,99.5,1
29762,28.0,7
29764,53.04,5
29776,48.16,5
29837,17.470000000000002,9
29846,98.6,1
29908,98.5,1
29909,76.8,2
29911,53.77,5
29918,98.6,1
29939,52.28,5
29940,99.7,1
29963,98.9,1
29968,98.6,1
29969,99.0,1
29971,99.1,1
29980,99.1,1
29988,99.0,1
29990,79.31,2
29996,56.33,4
30013,99.4,1
30064,53.970000000000006,5
30067,99.2,1
30098,80.59,2
30142,55.59,4
30143,99.9,1
30153,99.4,1
30161,71.86,3
30168,99.8,1
30175,44.27,6
30259,99.7,1
30277,98.7,1
30284,16.87,9
30287,99.5,1
30292,99.2,1
30346,99.5,1
30351,98.7,1
30354,99.3,1
30359,99.6,1
30393,42.63,6
30410,45.28,5
30434,55.04,4
30479,99.3,1
