,id_distribuidor,probs,grupo,cosecha_canasta
10017,131880,0.3853999999999999,6,11.87
10018,131882,0.989,1,1.54
10019,131890,0.7273000000000001,2,3.4
10020,131891,0.7951,2,3.4
10021,131892,0.6213000000000001,4,7.38
10022,131893,0.993,1,1.54
10023,131913,0.382,6,11.87
10024,131920,0.999,1,1.54
10025,131933,0.998,1,1.54
10026,131947,0.4961,5,10.69
10027,131950,0.263,8,12.68
10028,131951,0.6498999999999999,3,4.97
10029,131952,0.7761,2,3.4
10030,131953,0.4991,5,10.69
10031,131954,0.4817,5,10.69
10032,131957,0.3532,7,12.35
10033,131958,0.2316,8,12.68
10034,131959,0.99,1,1.54
10035,131967,0.6881,3,4.97
10036,131969,0.5357,5,10.69
10037,131970,0.7634000000000001,2,3.4
10038,131971,0.2387,8,12.68
10039,131972,0.7440000000000001,2,3.4
10040,131975,0.4339,6,11.87
10041,131976,0.2232999999999999,8,12.68
10042,131977,0.6323,3,4.97
10043,131978,0.2405,8,12.68
10044,131980,0.5734,4,7.38
10045,131982,0.5166,5,10.69
10046,131983,0.7404999999999999,2,3.4
10047,131984,0.2602,8,12.68
10048,131985,0.2998,7,12.35
10049,131986,0.988,1,1.54
10050,131994,0.4174,6,11.87
10051,131996,0.7494,2,3.4
10052,131997,0.5569,4,7.38
10053,131998,0.4048,6,11.87
10054,131999,0.5855,4,7.38
10055,132000,0.7620999999999999,2,3.4
10056,132013,0.2557,8,12.68
10057,132015,0.6315,4,7.38
10058,132020,0.2721,8,12.68
10059,132021,0.5489999999999999,4,7.38
10060,132022,0.6355,3,4.97
10061,132023,0.7814,2,3.4
10062,132024,0.3062,7,12.35
10063,132025,0.7323999999999999,2,3.4
10064,132029,0.992,1,1.54
10065,132035,0.2397,8,12.68
10066,132037,0.7345999999999999,2,3.4
10067,132039,0.5579,4,7.38
10068,132040,0.7884,2,3.4
10069,132045,0.989,1,1.54
10070,132070,0.5949,4,7.38
10071,132075,0.6618999999999999,3,4.97
10072,132076,0.5754,4,7.38
10073,132077,0.7287,2,3.4
10074,132078,0.23,8,12.68
10075,132082,0.6139,4,7.38
10076,132086,0.5769,4,7.38
10077,132087,0.3566,7,12.35
10078,132106,0.4379,6,11.87
10079,132108,0.999,1,1.54
10080,132120,0.6762999999999999,3,4.97
10081,132121,0.3806,6,11.87
10082,132122,0.3078,7,12.35
10083,132142,0.998,1,1.54
10084,132150,0.7186,3,4.97
10085,132152,0.711,3,4.97
10086,132153,0.2494,8,12.68
10087,132155,0.7944,2,3.4
10088,132157,0.6783,3,4.97
10089,132158,0.3657,6,11.87
10090,132160,0.3157999999999999,7,12.35
10091,132161,0.5226,5,10.69
10092,132163,0.5932,4,7.38
10093,132164,0.6169,4,7.38
10094,132168,0.8079000000000001,2,3.4
10095,132184,0.3184,7,12.35
10096,132189,0.5102,5,10.69
10097,132190,0.5922,4,7.38
10098,132192,0.3661,6,11.87
10099,132196,0.986,1,1.54
10100,132203,0.6635,3,4.97
10101,132204,0.2275,8,12.68
10102,132218,0.3314,7,12.35
10103,132219,0.991,1,1.54
10104,132228,0.999,1,1.54
