folioConsulta,folioConsultaOtorgante,claveOtorgante,idCliente,dateTime
1173846149,API1687021488025,002726,155563,2023-06-17 17:04:48
1173846283,API1687021497722,002726,155563,2023-06-17 17:04:58
1173846252,API1687021495823,002726,155563,2023-06-17 17:04:57
1173853820,API1687022024872,002726,155564,2023-06-17 17:13:46
1173846244,API1687021487295,002726,155563,2023-06-17 17:04:55
1173886239,API1687024309416,002726,155570,2023-06-17 17:51:50
1173883638,API1687024126365,002726,155569,2023-06-17 17:48:48
1173868147,API1687023012027,002726,155566,2023-06-17 17:30:12
1173868169,API1687023014026,002726,155566,2023-06-17 17:30:14
1173886188,API1687024305089,002726,155570,2023-06-17 17:51:46
1173868183,API1687023014999,002726,155566,2023-06-17 17:30:15
1173868236,API1687023016677,002726,155566,2023-06-17 17:30:18
1174969460,API1687187882336,002726,155600,2023-06-19 15:18:03
1174969586,API1687187892952,002726,59982,2023-06-19 15:18:14
1174971165,API1687188058383,002726,155591,2023-06-19 15:20:59
1174960266,API1687186893507,002726,155589,2023-06-19 15:01:34
1174969554,API1687187889810,002726,59982,2023-06-19 15:18:10
1174960237,API1687186888624,002726,155589,2023-06-19 15:01:29
1174962978,API1687187196733,002726,155590,2023-06-19 15:06:38
1174960248,API1687186890257,002726,155589,2023-06-19 15:01:31
1174991464,API1687190024529,002726,105814,2023-06-19 15:53:45
1174992097,API1687190085683,002726,155607,2023-06-19 15:54:46
1174988072,API1687189691456,002726,155603,2023-06-19 15:48:12
1174988052,API1687189689015,002726,155603,2023-06-19 15:48:09
1175026397,API1687192949380,002726,145099,2023-06-19 16:42:30
1175023733,API1687192748807,002726,155609,2023-06-19 16:39:10
1175025325,API1687192872187,002726,120973,2023-06-19 16:41:13
1175023787,API1687192752767,002726,155609,2023-06-19 16:39:14
1175026169,API1687192932738,002726,145067,2023-06-19 16:42:13
1175025846,API1687192911048,002726,132704,2023-06-19 16:41:52
1175031532,API1687193352900,002726,155615,2023-06-19 16:49:13
1175025871,API1687192913141,002726,132704,2023-06-19 16:41:54
1175025676,API1687192897837,002726,120893,2023-06-19 16:41:38
1175024854,API1687192838255,002726,105401,2023-06-19 16:40:40
1175031597,API1687193357168,002726,155615,2023-06-19 16:49:18
1175026375,API1687192947474,002726,145099,2023-06-19 16:42:28
1175025641,API1687192889880,002726,120893,2023-06-19 16:41:36
1175049339,API1687194734919,002726,154960,2023-06-19 17:12:16
1175049412,API1687194740936,002726,154960,2023-06-19 17:12:22
1175063847,API1687195885694,002726,155619,2023-06-19 17:31:27
1175071175,API1687196478834,002726,155618,2023-06-19 17:41:21
1175075913,API1687196861139,002726,155621,2023-06-19 17:47:42
1175071127,API1687196476044,002726,155618,2023-06-19 17:41:18
1175069640,API1687196358886,002726,155606,2023-06-19 17:39:19
1175069575,API1687196354294,002726,155606,2023-06-19 17:39:15
1175113662,API1687199775444,002726,155637,2023-06-19 18:36:16
1175152779,API1687202872439,002726,155645,2023-06-19 19:27:57
1175147666,API1687202470238,002726,155641,2023-06-19 19:21:11
1175152720,API1687202866458,002726,155645,2023-06-19 19:27:52
1175149893,API1687202640680,002726,155643,2023-06-19 19:24:02
1175147588,API1687202464709,002726,155641,2023-06-19 19:21:05
1175157856,API1687203248958,002726,155647,2023-06-19 19:34:14
1175156251,API1687203127895,002726,155646,2023-06-19 19:32:13
1175157780,API1687203242573,002726,155647,2023-06-19 19:34:08
1175179851,API1687204977215,002726,155656,2023-06-19 20:02:58
1175185158,API1687205408242,002726,155657,2023-06-19 20:10:09
1175193026,API1687206062310,002726,135039,2023-06-19 20:21:06
1175179895,API1687204980479,002726,155656,2023-06-19 20:03:02
1175192371,API1687206010841,002726,135020,2023-06-19 20:20:11
1175206597,API1687207154750,002726,155668,2023-06-19 20:39:15
1175224686,API1687208660140,002726,155670,2023-06-19 21:04:21
1175224633,API1687208655026,002726,155670,2023-06-19 21:04:15
1175282641,API1687213523484,002726,146323,2023-06-19 22:25:24
1175282398,API1687213505984,002726,146052,2023-06-19 22:25:07
1175281350,API1687213418978,002726,114564,2023-06-19 22:23:40
1175281957,API1687213466078,002726,115084,2023-06-19 22:24:27
1175281694,API1687213443193,002726,114568,2023-06-19 22:24:04
1175282162,API1687213487962,002726,136857,2023-06-19 22:24:49
1175281635,API1687213439505,002726,114568,2023-06-19 22:24:00
